model-1664982448,1664982456.301,0.59,0.2377,0.55,0.2487
model-1664982448,1664982456.353,0.59,0.2334,0.57,0.2462
model-1664982448,1664982456.401,0.6,0.2366,0.59,0.2342
model-1664982448,1664982456.448,0.59,0.2373,0.61,0.2304
model-1664982448,1664982456.505,0.46,0.2562,0.57,0.2421
model-1664982448,1664982456.545,0.54,0.2429,0.65,0.2393
model-1664982448,1664982456.601,0.58,0.2374,0.59,0.2371
model-1664982448,1664982456.651,0.65,0.2244,0.56,0.2455
model-1664982448,1664982456.695,0.6,0.2362,0.57,0.2579
model-1664982448,1664982456.748,0.65,0.229,0.55,0.2625
model-1664982448,1664982456.8,0.53,0.2667,0.54,0.2405
model-1664982448,1664982456.846,0.56,0.2488,0.57,0.2439
model-1664982448,1664982456.893,0.58,0.2454,0.57,0.247
model-1664982448,1664982456.949,0.6,0.2382,0.55,0.249
model-1664982448,1664982456.995,0.61,0.2439,0.57,0.2558
model-1664982448,1664982457.048,0.54,0.2451,0.49,0.257
model-1664982448,1664982457.099,0.51,0.2599,0.58,0.2396
model-1664982448,1664982457.145,0.64,0.2377,0.6,0.2441
model-1664982448,1664982457.192,0.58,0.2391,0.71,0.23
model-1664982448,1664982457.242,0.62,0.2378,0.56,0.2454
model-1664982448,1664982457.291,0.68,0.2254,0.56,0.2434
model-1664982448,1664982457.34,0.5,0.2538,0.52,0.2568
model-1664982448,1664982457.391,0.56,0.2414,0.54,0.249
model-1664982448,1664982457.43,0.57,0.2445,0.55,0.2536
model-1664982448,1664982457.477,0.63,0.2304,0.5,0.2584
model-1664982448,1664982457.545,0.6,0.2341,0.53,0.2526
model-1664982448,1664982457.594,0.57,0.2465,0.57,0.2465
model-1664982448,1664982457.648,0.58,0.2323,0.6,0.2348
model-1664982448,1664982457.704,0.59,0.2432,0.53,0.243
model-1664982448,1664982457.745,0.68,0.2309,0.58,0.2423
model-1664982448,1664982457.814,0.64,0.2349,0.58,0.2421
model-1664982448,1664982457.87,0.65,0.2308,0.53,0.2452
model-1664982448,1664982457.918,0.63,0.2358,0.56,0.2383
